AppID,Name,Release date,Price,Positive,Negative,Categories,Genres,Tags,Rating
402890,Nyctophilia,"Sep 23, 2015",0.0,196,106,Single-player,"Adventure,Free To Play,Indie","Free to Play,Indie,Adventure,Horror,2D,Pixel Graphics,Thriller,Soundtrack,Psychological Horror",0.6490066225165563
1151740,Prison Princess,"Apr 2, 2020",19.99,264,46,"Single-player,Steam Achievements,Full controller support,Family Sharing","Adventure,Indie","Sexual Content,Adventure,Indie,Nudity,Anime,Mature,Visual Novel,Puzzle,Hentai",0.8516129032258064
431510,Mystic Destinies: Serendipity of Aeons,"Feb 11, 2016",0.0,318,72,"Single-player,Steam Achievements,Steam Trading Cards,In-App Purchases","Adventure,Casual,Indie,Simulation","Visual Novel,Otome,Female Protagonist,Indie,Free to Play,Casual,Simulation,Adventure,Romance,Anime,Nudity,Story Rich",0.8153846153846154
1154840,Shadow Empire,"Dec 3, 2020",39.99,1145,168,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Remote Play Together,Family Sharing","RPG,Simulation,Strategy","Strategy,Simulation,4X,RPG,Wargame,Turn-Based Strategy,Hex Grid,Sci-fi,Turn-Based,Grand Strategy,War,Space,Singleplayer,Multiplayer,Replay Value,Aliens,Tactical,Turn-Based Combat,Asynchronous Multiplayer,Management",0.872048743335872
282010,Carmageddon Max Pack,"Jun 30, 1997",9.99,769,101,"Single-player,Multi-player,Steam Trading Cards,Family Sharing","Action,Indie,Racing","Combat Racing,Racing,Action,Classic,Gore,Indie,1990's,Vehicular Combat,Multiplayer,Retro,Singleplayer,Great Soundtrack,Arcade,Driving,Female Protagonist",0.8839080459770114
382310,Eco,"Feb 6, 2018",29.99,10236,2339,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Achievements,In-App Purchases","Indie,Simulation,Early Access","Early Access,Simulation,Building,Sandbox,Economy,Open World Survival Craft,Immersive Sim,Nature,Multiplayer,Open World,Base-Building,Crafting,Trading,Transportation,Science,Education,Resource Management,Political Sim,Survival,Singleplayer",0.8139960238568589
2336220,Feed the Cups,"Feb 20, 2024",15.99,3080,9000,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together,Family Sharing","Casual,Indie,Simulation,Early Access","Early Access,Cute,Simulation,Cooking,Crafting,Online Co-Op,2D,Management,Multiplayer,Co-op,Singleplayer,Local Co-Op,Rogue-lite,Immersive Sim,Local Multiplayer,Action Roguelike,Action,Funny,Cartoon,Job Simulator",0.25496688741721857
1151640,Horizon Zero Dawn™ Complete Edition,"Aug 7, 2020",49.99,104896,14162,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Tablet,Family Sharing","Action,Adventure,RPG","Open World,Adventure,Female Protagonist,Singleplayer,Story Rich,RPG,Action,Post-apocalyptic,Sci-fi,Robots,Third Person,Exploration,Beautiful,Atmospheric,Action RPG,Archery,Great Soundtrack,Hunting,Stealth,Dinosaurs",0.88104957247728
434030,Aerofly FS 2 Flight Simulator,"Nov 20, 2017",49.99,1574,421,"Single-player,Tracked Controller Support,VR Supported,Partial Controller Support,Family Sharing","Action,Indie,Racing,Simulation","Flight,Simulation,VR,Racing,Open World,Physics,Realistic,Education,Exploration,Jet,3D Vision,Relaxing,3D,Level Editor,America,Singleplayer,TrackIR,Early Access,Indie,Multiplayer",0.7889724310776942
225840,Sven Co-op,"Jan 22, 2016",0.0,28471,1914,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled","Action,Casual,Free To Play,Indie","Co-op,FPS,Online Co-Op,Shooter,Shoot 'Em Up,1990's,Team-Based,Retro,Casual,PvE,First-Person,3D,Free to Play,Third Person,Action,Conversation,Puzzle,Survival,Moddable,Multiplayer",0.9370083922988317
411830,SENRAN KAGURA SHINOVI VERSUS,"Jun 1, 2016",19.99,3622,198,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",Action,"Anime,Nudity,Action,Sexual Content,Female Protagonist,Mature,Hack and Slash,Cute,Ninja,Beat 'em up,Fighting,Multiplayer,Story Rich,Singleplayer,Great Soundtrack,Character Customization,JRPG,Memes,Funny,Hentai",0.9481675392670157
252850,Streamline,"Sep 30, 2016",0.0,1430,580,"Multi-player,Online PvP,Steam Achievements,Steam Trading Cards,Partial Controller Support,Family Sharing","Action,Indie,Sports,Early Access","Early Access,Action,Indie,Sports,Parkour,Multiplayer",0.7114427860696517
626550,Prodigy Tactics,"Sep 28, 2018",19.99,74,129,"Single-player,Multi-player,PvP,Online PvP,Family Sharing","Action,Adventure,Casual,RPG,Strategy","Strategy,Adventure,Action,Casual,Turn-Based,Turn-Based Tactics,Tactical,Fantasy,Turn-Based Strategy,Multiplayer,Party-Based RPG,Indie,Local Multiplayer,Turn-Based Combat",0.3645320197044335
1385380,Across the Obelisk,"Aug 16, 2022",19.99,8912,1951,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Cloud,Steam Leaderboards,Family Sharing","Adventure,Indie,RPG,Strategy","Online Co-Op,Dungeon Crawler,Roguelike Deckbuilder,Indie,Card Game,Card Battler,Deckbuilding,Co-op,Adventure,Rogue-lite,Replay Value,Choices Matter,Difficult,Tactical RPG,Class-Based,Turn-Based,Turn-Based Strategy,Turn-Based Combat,Turn-Based Tactics,Procedural Generation",0.8203995213108718
489560,Astroflux,"Sep 27, 2016",0.0,225,83,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,In-App Purchases","Action,Adventure,Free To Play,Massively Multiplayer,RPG","Free to Play,Massively Multiplayer,Action,Adventure,RPG,Space,Bullet Hell,2D",0.7305194805194806
92800,SpaceChem,"Mar 2, 2011",9.99,4532,384,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Indie,Simulation","Puzzle,Difficult,Programming,Indie,Logic,Singleplayer,Automation,Sci-fi,Great Soundtrack,Science,2D,Space,Simulation,Illuminati,Casual,Addictive,Education,Strategy,Touch-Friendly,Building",0.9218877135882831
1351240,Taxi Life: A City Driving Simulator,"Mar 7, 2024",29.99,1406,1012,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing",Simulation,"Driving,Simulation,Open World,Singleplayer,Realistic,Automobile Sim,First-Person,Exploration,Relaxing,Atmospheric,Immersive Sim,Management,Physics,Transportation,Third Person,Casual,3D,Controller,Sandbox,Life Sim",0.5814722911497106
